7.861230	-069.180	+0.674831
7.861621	-086.101	+0.667224
7.861621	-097.461	+0.664614
7.861523	-106.490	+0.660933
7.861719	-110.786	+0.660138
7.861719	-109.577	+0.662404
7.861523	-104.837	+0.662913
7.861230	-096.285	+0.659671
7.861621	-081.968	+0.655620
7.861035	-063.835	+0.651821
7.861523	-044.084	+0.651741
7.861719	-022.008	+0.650421
7.861328	+000.069	+0.647063
7.861719	+023.105	+0.644876
7.861133	+045.167	+0.645282
7.861328	+065.938	+0.644793
7.861523	+083.045	+0.646767
7.861719	+095.615	+0.651079
7.861621	+103.467	+0.654579
7.861328	+107.115	+0.657273
7.861426	+105.970	+0.661817
7.861621	+100.309	+0.667654
7.861621	+092.839	+0.672847
7.861621	+082.116	+0.678441
7.861621	+068.229	+0.679556
7.861133	+053.122	+0.680713
7.861035	+037.146	+0.680144
7.861133	+019.167	+0.681491
7.861035	+000.860	+0.680967
7.861426	-017.461	+0.679027
7.861328	-036.925	+0.672484
7.861523	-055.658	+0.671524
7.861719	-073.620	+0.673178
7.861719	-089.585	+0.669525
7.861523	-099.513	+0.664046
7.861426	-106.660	+0.664953
7.861133	-110.156	+0.665371
7.861328	-107.253	+0.663644
7.861230	-101.982	+0.662437
7.861035	-092.550	+0.654597
7.861133	-076.916	+0.652641
7.861035	-059.081	+0.654699
7.861426	-039.258	+0.654515
7.861426	-017.739	+0.651550
7.861621	+004.068	+0.647195
7.861230	+026.802	+0.641459
7.861523	+048.488	+0.639004
7.861133	+068.952	+0.640420
7.861328	+086.061	+0.647093
7.861328	+097.995	+0.650286
7.861523	+105.581	+0.652597
7.861035	+108.672	+0.659492
7.861621	+105.956	+0.671140
7.861523	+100.082	+0.676583
7.861133	+091.716	+0.678960
7.861523	+079.593	+0.682135
7.861133	+065.098	+0.685326
7.861621	+049.400	+0.683210
7.861426	+032.957	+0.677665
7.861719	+014.747	+0.679048
7.861523	-003.727	+0.680034
7.861719	-022.420	+0.681860
7.861426	-041.503	+0.680139
7.861719	-060.446	+0.681197
7.861230	-078.180	+0.680251
7.861035	-092.355	+0.672519
7.861133	-102.639	+0.661945
7.861426	-108.368	+0.660178
7.861230	-110.725	+0.661134
7.861621	-107.659	+0.657205
7.861426	-100.760	+0.650884
7.861035	-089.830	+0.647978
7.861523	-072.520	+0.648083
7.861133	-053.429	+0.650611
7.861328	-032.162	+0.653012
7.861621	-009.745	+0.651303
7.861133	+013.394	+0.648969
7.861719	+036.437	+0.649067
7.861523	+058.728	+0.647471
7.861133	+078.130	+0.643487
7.861230	+093.759	+0.645017
7.861035	+103.040	+0.652192
7.861621	+108.390	+0.659225
7.861621	+109.427	+0.659723
7.861426	+103.740	+0.664376
7.861719	+096.568	+0.671917
7.861621	+086.194	+0.675434
7.861426	+072.395	+0.676802
7.861230	+057.205	+0.682534
7.861719	+040.906	+0.681158
7.861621	+023.312	+0.678960
7.861719	+005.088	+0.677322
7.861230	-013.274	+0.675132
7.861719	-032.675	+0.674731
7.861621	-051.363	+0.674457
7.861523	-070.032	+0.673175
7.861523	-086.897	+0.669859
7.861426	-097.584	+0.664896
7.861523	-106.254	+0.660922
7.861523	-110.463	+0.661930
7.861621	-108.441	+0.662914
7.861523	-103.624	+0.660758
7.861621	-094.969	+0.652981
7.861328	-080.665	+0.653163
7.861133	-062.991	+0.653427
7.861133	-043.580	+0.649955
7.861133	-022.000	+0.648487
7.861523	-000.163	+0.646486
7.861719	+022.732	+0.643699
7.861035	+044.829	+0.643145
7.861230	+065.837	+0.639082
7.861230	+083.183	+0.639340
7.861328	+095.773	+0.645984
7.861230	+103.600	+0.652334
7.861719	+107.106	+0.658073
7.861328	+105.634	+0.664493
7.861328	+099.807	+0.670518
7.861426	+092.407	+0.674134
7.861523	+081.737	+0.677662
7.861035	+068.266	+0.681347
7.861328	+053.495	+0.682262
7.861621	+037.570	+0.679337
7.861719	+019.886	+0.679143
7.861523	+001.920	+0.675221
7.861621	-016.098	+0.676769
7.861328	-034.983	+0.676797
7.861719	-053.218	+0.676810
7.861426	-070.929	+0.675899
7.861719	-087.316	+0.670914
7.861621	-097.750	+0.667586
7.861035	-105.740	+0.667722
7.861621	-110.657	+0.665994
7.861133	-108.835	+0.661049
7.861426	-104.143	+0.657007
7.861719	-095.336	+0.653637
7.861133	-079.838	+0.652531
7.861133	-061.340	+0.650495
7.861719	-040.753	+0.649864
7.861133	-018.205	+0.649351
7.861133	+004.394	+0.647754
7.861719	+027.996	+0.645386
7.861426	+050.621	+0.644401
7.861621	+071.589	+0.645181
7.861230	+089.359	+0.646059
7.861426	+100.958	+0.649343
7.861523	+108.346	+0.654959
7.861523	+111.010	+0.658411
7.861719	+106.772	+0.664467
7.861133	+100.298	+0.667081
7.861328	+090.714	+0.674123
7.861035	+077.410	+0.678876
7.861133	+062.385	+0.675794
7.861328	+045.943	+0.676288
7.861426	+028.849	+0.677915
7.861719	+010.454	+0.673581
7.861719	-008.248	+0.671635
7.861426	-027.467	+0.675083
7.861719	-046.461	+0.674258
7.861719	-065.519	+0.674019
7.861621	-082.978	+0.673167
7.861426	-095.358	+0.667512
7.861426	-104.846	+0.660498
7.861719	-109.494	+0.662483
7.861621	-109.372	+0.663891
7.861230	-105.220	+0.663410
7.861426	-097.520	+0.660477
7.861426	-085.058	+0.657352
7.861328	-067.743	+0.656312
7.861621	-048.840	+0.656146
7.861328	-027.640	+0.651460
7.861621	-006.038	+0.646811
7.861328	+016.515	+0.645926
7.861328	+038.663	+0.645126
7.861328	+059.825	+0.644578
7.861328	+078.046	+0.646273
7.861523	+092.443	+0.649079
7.861621	+101.177	+0.654585
7.861133	+106.379	+0.661593
7.861426	+107.347	+0.667884
7.861621	+102.217	+0.674720
